YEAR, MALE, FEMALE, TOTAL,SEX RATIO*
1981,"20,350 ","28,517 ","48,867 ",71M/100F
1982,"21,752 ","32,201 ","53,953 ",68M/100F
1983,"17,816 ","24,665 ","42,481 ",72M/100F
1984,"16,970 ","24,581 ","41,551 ",69M/100F
1985,"18,409 ","26,860 ","45,269 ",68M/100F
1986,"20,408 ","28,930 ","49,338 ",70M/100F
1987,"23,921 ","32,429 ","56,350 ",74M/100F
1988,"24,625 ","33,395 ","58,020 ",74M/100F
1989,"22,807 ","32,938 ","55,745 ",69M/100F
1990,"25,400 ","37,749 ","63,149 ",67M/100F
1991,"24,719 ","37,745 ","62,464 ",65M/100F
1992,"25,128 ","39,026 ","64,154 ",64M/100F
1993,"26,211 ","40,179 ","66,390 ",65M/100F
1994,"26,180 ","38,351 ","64,531 ",68M/100F
1995,"22,550 ","33,692 ","56,242 ",67M/100F
1996,"24,446 ","36,467 ","60,913 ",67M/100F
1997,"20,936 ","33,123 ","54,059 ",63M/100F
1998,"14,629 ","24,380 ","39,009 ",60M/100F
1999,"14,657 ","25,850 ","40,507 ",57M/100F
2000,"19,907 ","31,124 ","51,031 ",64M/100F
2001,"20,313 ","31,741 ","52,054 ",64M/100F
2002,"22,329 ","35,391 ","57,720 ",63M/100F
2003,"22,233 ","32,904 ","55,137 ",68M/100F
2004,"26,141 ","38,783 ","64,924 ",67M/100F
2005,"27,333 ","41,695 ","69,028 ",65M/100F
2006,"32,259 ","50,708 ","82,967 ",64M/100F
2007,"30,877 ","49,722 ","80,599 ",62M/100F
2008,"27,839 "," 42,961 ","70,800 ",65M/100F
2009,"31,793 "," 47,925 ","79,718 ",66M/100F
2010,"36,287 ","49,788 ","86,075 ",73M/100F
2011,"34,563 ","48,847 ","83,410 ",71M/100F
2012,"34,076 ","49,564 ","83,640 ",69M/100F
2013,"31,288 ","46,940 ","78,228 ",67M/100F
2014,"32,368 ","48,321 ","80,689 ",67M/100F
2015,"40,079 ","52,919 ","92,998 ",76M/100F
2016,"37,036 ","52,318 ","89,354 ",71M/100F
2017,"33,741 ","46,038 ","79,779 ",73M/100F
2018,"30,390 ","43,329 ","73,719 ",70M/100F
2019,"25,165 ","39,999 ","65,164 ",63M/100F
2020,"5,928 ","9,775 ","15,703 ",61M/100F
